"Site","Site_ID","Project","Date","TP","Lat","Long"
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-06-19,"11",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-06-19,"11",42.864,-76.508
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-06-19,"22",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-06-19,"22",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-05-29,NA,42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-05-29,NA,42.71667,-76.43773
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-05-29,"17.3",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-05-29,"17.3",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DOW",2018-05-29,"34.1",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW",2018-05-29,"34.1",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW",2018-05-29,"33.2",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW",2018-05-29,"33.2",42.902,-76.527
"Veness Brook","07-VENE-0.4","DOW",2018-05-23,"22.1",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW",2018-05-23,"22.1",42.886,-76.548
"Sucker Brook","07-SCKR-0.1","DOW",2018-05-23,"25.1",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW",2018-05-23,"25.1",42.902,-76.527
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-05-23,"18.8",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-05-23,"18.8",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-05-23,"17.6",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-05-23,"17.6",42.864,-76.508
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-05-23,"111",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-05-23,"111",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-05-15,"22.2",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-05-15,"22.2",42.71667,-76.43773
"Veness Brook","07-VENE-0.4","DOW",2018-05-15,"32.6",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW",2018-05-15,"32.6",42.886,-76.548
"Sucker Brook","07-SCKR-0.1","DOW",2018-05-15,"19.9",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW",2018-05-15,"19.9",42.902,-76.527
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-05-15,"12.4",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-05-15,"12.4",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DOW",2018-05-01,"16.2",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW",2018-05-01,"16.2",42.902,-76.527
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-05-01,"8.5",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-05-01,"8.5",42.864,-76.508
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-05-01,"6.9",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-05-01,"6.9",42.71667,-76.43773
"Veness Brook","07-VENE-0.4","DOW",2018-05-01,"13",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW",2018-05-01,"13",42.886,-76.548
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-04-26,"10.6",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-04-26,"10.6",42.71667,-76.43773
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-04-26,"11.7",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-04-26,"11.7",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DOW",2018-04-26,"17.3",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW",2018-04-26,"17.3",42.902,-76.527
"Veness Brook","07-VENE-0.4","DOW",2018-04-26,"21.3",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW",2018-04-26,"21.3",42.886,-76.548
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-04-18,"14",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-04-18,"14",42.71667,-76.43773
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-04-18,"12.6",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-04-18,"12.6",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DOW",2018-04-18,"26.3",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW",2018-04-18,"26.3",42.902,-76.527
"Veness Brook","07-VENE-0.4","DOW",2018-04-18,"37.1",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW",2018-04-18,"37.1",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW",2018-04-18,"33.3",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW",2018-04-18,"33.3",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW",2018-04-03,"22.1",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW",2018-04-03,"22.1",42.886,-76.548
"Sucker Brook","07-SCKR-0.1","DOW",2018-04-03,"13.9",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW",2018-04-03,"13.9",42.902,-76.527
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-04-03,"11.2",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-04-03,"11.2",42.864,-76.508
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-04-03,"16.9",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-04-03,"16.9",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-03-20,"10.4",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-03-20,"10.4",42.71667,-76.43773
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-03-20,"8.8",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-03-20,"8.8",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DOW",2018-03-20,"8.5",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW",2018-03-20,"8.5",42.902,-76.527
"Veness Brook","07-VENE-0.4","DOW",2018-03-20,"16.5",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW",2018-03-20,"16.5",42.886,-76.548
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-03-12,"5.8",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-03-12,"5.8",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-03-12,"6.3",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2018-03-12,"6.3",42.71667,-76.43773
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-03-12,"4.7",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2018-03-12,"4.7",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DOW",2018-03-12,"8.4",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW",2018-03-12,"8.4",42.902,-76.527
"Veness Brook","07-VENE-0.4","DOW",2018-03-12,"8.8",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW",2018-03-12,"8.8",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.2","DOW",2012-10-23,"14.4",42.864159,-76.508049
"Dutch Hollow Brook","07-DUCH-0.2","DOW",2012-10-03,"18.7",42.864159,-76.508049
"Dutch Hollow Brook","07-DUCH-0.2","DOW",2012-09-10,"55.5",42.864159,-76.508049
"Dutch Hollow Brook","07-DUCH-0.2","DOW",2012-08-13,"14",42.864159,-76.508049
"Dutch Hollow Brook","07-DUCH-0.2","DOW",2012-07-12,"15.6",42.864159,-76.508049
"Dutch Hollow Brook","07-DUCH-0.2","DOW",2012-06-28,"12.4",42.864159,-76.508049
"Dutch Hollow Brook","07-DUCH-0.2","DOW",2012-06-05,"12.8",42.864159,-76.508049
"Dutch Hollow Brook","07-DUCH-0.2","DOW",2012-05-15,"11.4",42.864159,-76.508049
"Dutch Hollow Brook","07-DUCH-0.2","DOW",2012-04-30,"7.1",42.864159,-76.508049
"Dutch Hollow Brook","07-DUCH-0.2","DOW",2012-04-04,"5.4",42.864159,-76.508049
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2007-11-13,"19.1",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2007-11-13,"19.1",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2007-10-24,"164",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2007-10-24,"164",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2007-10-03,"36.4",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2007-10-03,"36.4",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2007-09-12,"74.3",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2007-09-12,"74.3",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2007-08-22,"48.7",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2007-08-22,"48.7",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2007-07-18,"37.9",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2007-07-18,"37.9",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2007-06-18,"53",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2007-06-18,"53",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2007-05-31,"61.3",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2007-05-31,"61.3",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2007-05-03,"19.8",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2007-05-03,"19.8",42.71667,-76.43773
