"Site","Site_ID","Project","Date","TP","Lat","Long"
"Sucker Brook","OWLA 101","DHD",2021-11-10,"33.7",42.901229,-76.527212
"Owasco Inlet/Walpole Rd.","OWLA 158","DHD",2021-11-10,"33.9",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD",2021-11-10,"26.1",42.889701,-76.54934
"Owasco inlet/St. Rt. 90","OWLA 200","DHD",2021-11-10,"23.6",42.659673,-76.428177
"Owasco Inlet/W. Cayuga St.","OWLA 213","DHD",2021-11-10,"16.8",42.71622,-76.437075
"Dutch Hollow Brook","OWLA 166","DHD",2022-05-05,"10.4",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD",2022-05-05,"20.5",42.901229,-76.527212
"Owasco Inlet/Walpole Rd.","OWLA 158","DHD",2022-05-05,"40.4",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD",2022-05-05,"51.9",42.889701,-76.54934
"Owasco inlet/St. Rt. 90","OWLA 200","DHD",2022-05-05,"16.4",42.659673,-76.428177
"Owasco Inlet/W. Cayuga St.","OWLA 213","DHD",2022-05-05,"15.1",42.71622,-76.437075
"Long Point","OWLA 101","DHD",2022-05-05,"10.3",42.901229,-76.527212
"Dutch Hollow Brook","OWLA 166","DHD",2022-05-20,"15.6",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD",2022-05-20,"27.5",42.901229,-76.527212
"Owasco Inlet/Walpole Rd.","OWLA 158","DHD",2022-05-20,"26",42.599363,-76.373137
"Owasco inlet/St. Rt. 90","OWLA 200","DHD",2022-05-20,"13.2",42.659673,-76.428177
"Owasco Inlet/W. Cayuga St.","OWLA 213","DHD",2022-05-20,"9.4",42.71622,-76.437075
"Long Point","OWLA 101","DHD",2022-05-20,"11.1",42.901229,-76.527212
"Dutch Hollow","OWLA 166","DHD",2022-06-01,"22.2",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD",2022-06-01,"54",42.901229,-76.527212
"Owasco Inlet","OWLA 158","DHD",2022-06-01,"40.5",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD",2022-06-01,"119.4",42.889701,-76.54934
"State Rt. 90","OWLA 200","DHD",2022-06-01,"34.6",42.659673,-76.428177
"West Cayuga St.","OWLA 213","DHD",2022-06-01,"21.6",42.71622,-76.437075
"Long Point","OWLA 290","DHD",2022-06-01,"18.8",42.83408,-76.50477
"Dutch Hollow","OWLA 166","DHD",2022-06-16,"387.9",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD",2022-06-16,"627.8",42.901229,-76.527212
"Owasco Inlet","OWLA 158","DHD",2022-06-16,"325.8",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD",2022-06-16,"101.7",42.889701,-76.54934
"State Rt. 90","OWLA 200","DHD",2022-06-16,"82.9",42.659673,-76.428177
"West Cayuga St.","OWLA 213","DHD",2022-06-16,"105.1",42.71622,-76.437075
"Long Point","OWLA 290","DHD",2022-06-16,"105",42.83408,-76.50477
"Dutch Hollow","OWLA 166","DHD",2022-07-11,"11.6",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD",2022-07-11,"49.7",42.901229,-76.527212
"Owasco Inlet","OWLA 158","DHD",2022-07-11,"46.9",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD",2022-07-11,"47.9",42.889701,-76.54934
"State Rt. 90","OWLA 200","DHD",2022-07-11,"27.5",42.659673,-76.428177
"West Cayuga St.","OWLA 213","DHD",2022-07-11,"15.2",42.71622,-76.437075
"Long Point","OWLA 290","DHD",2022-07-11,"16.7",42.83408,-76.50477
"Dutch Hollow","OWLA 166","DHD",2022-07-20,"18.3",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD",2022-07-20,"66.2",42.901229,-76.527212
"Owasco Inlet","OWLA 158","DHD",2022-07-20,"142.9",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD",2022-07-20,"53.8",42.889701,-76.54934
"State Rt. 90","OWLA 200","DHD",2022-07-20,"27.4",42.659673,-76.428177
"West Cayuga St.","OWLA 213","DHD",2022-07-20,"16.7",42.71622,-76.437075
"Long Point","OWLA 290","DHD",2022-07-20,"20.8",42.83408,-76.50477
"Dutch Hollow","OWLA 166","DHD",2022-08-03,"13.9",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD",2022-08-03,"77.9",42.901229,-76.527212
"Owasco Inlet","OWLA 158","DHD",2022-08-03,"185.5",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD",2022-08-03,"50.8",42.889701,-76.54934
"State Rt. 90","OWLA 200","DHD",2022-08-03,"27.3",42.659673,-76.428177
"West Cayuga St.","OWLA 213","DHD",2022-08-03,"14.8",42.71622,-76.437075
"Long Point","OWLA 290","DHD",2022-08-03,"19.1",42.83408,-76.50477
"Dutch Hollow","OWLA 166","DHD",2022-08-23,"184.5",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD",2022-08-23,"98.7",42.901229,-76.527212
"Owasco Inlet","OWLA 158","DHD",2022-08-23,"85.3",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD",2022-08-23,"55.8",42.889701,-76.54934
"State Rt. 90","OWLA 200","DHD",2022-08-23,"31",42.659673,-76.428177
"West Cayuga St.","OWLA 213","DHD",2022-08-23,"39.5",42.71622,-76.437075
"Long Point","OWLA 290","DHD",2022-08-23,"21.4",42.83408,-76.50477
"Dutch Hollow","OWLA 166","DHD",2022-09-08,"109.3",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD",2022-09-08,"416.6",42.901229,-76.527212
"Owasco Inlet","OWLA 158","DHD",2022-09-08,"1402.8",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD",2022-09-08,"115.4",42.889701,-76.54934
"State Rt. 90","OWLA 200","DHD",2022-09-08,"39.5",42.659673,-76.428177
"West Cayuga St.","OWLA 213","DHD",2022-09-08,"24.3",42.71622,-76.437075
"Long Point","OWLA 290","DHD",2022-09-08,"91.1",42.83408,-76.50477
"Dutch Hollow","OWLA 166","DHD",2022-09-21,"67",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD",2022-09-21,"86",42.901229,-76.527212
"Owasco Inlet","OWLA 158","DHD",2022-09-21,"41.9",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD",2022-09-21,"74.7",42.889701,-76.54934
"State Rt. 90","OWLA 200","DHD",2022-09-21,"33.8",42.659673,-76.428177
"West Cayuga St.","OWLA 213","DHD",2022-09-21,"16.2",42.71622,-76.437075
"Long Point","OWLA 290","DHD",2022-09-21,"24.2",42.83408,-76.50477
"Dutch Hollow","OWLA 166","DHD",2022-10-05,"8.1",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD",2022-10-05,"37.8",42.901229,-76.527212
"Owasco Inlet","OWLA 158","DHD",2022-10-05,"26.6",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD",2022-10-05,"59.2",42.889701,-76.54934
"State Rt. 90","OWLA 200","DHD",2022-10-05,"12",42.659673,-76.428177
"West Cayuga St.","OWLA 213","DHD",2022-10-05,"8.7",42.71622,-76.437075
"Long Point","OWLA 290","DHD",2022-10-05,"11.9",42.83408,-76.50477
"Dutch Hollow","OWLA 166","DHD",2022-10-19,"8.9",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD",2022-10-19,"17.3",42.901229,-76.527212
"Owasco Inlet","OWLA 158","DHD",2022-10-19,"23.4",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD",2022-10-19,"25.4",42.889701,-76.54934
"State Rt. 90","OWLA 200","DHD",2022-10-19,"35.3",42.659673,-76.428177
"West Cayuga St.","OWLA 213","DHD",2022-10-19,"13",42.71622,-76.437075
"Long Point","OWLA 290","DHD",2022-10-19,"10.5",42.83408,-76.50477
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC",2017-04-05,"20.4",42.824,-76.521
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC",2017-04-05,"20.4",42.824,-76.521
"Veness Brook","07-VENE-0.4","DEC",2017-04-05,"101.6",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC",2017-04-05,"101.6",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2017-04-05,"72.5",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2017-04-05,"72.5",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC",2017-04-05,"27.1",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC",2017-04-05,"27.1",42.902,-76.527
"Veness Brook","07-VENE-0.4","DEC",2017-05-02,"72.4",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC",2017-05-02,"72.4",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2017-05-02,"101.8",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2017-05-02,"101.8",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC",2017-05-02,"287",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC",2017-05-02,"287",42.902,-76.527
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC",2017-06-06,"13.1",42.824,-76.521
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC",2017-06-06,"13.1",42.824,-76.521
