a,s,,,,,,,,
9/10/2013,11/5/2013,6/10/2014,6/24/2014,7/8/2014,7/22/2014,8/5/2014,8/19/2014,9/2/2014,9/16/2014
0.033,0.06,0.01,0.03,0.03,0.01,0.067,0.02,0.017,0.012
