"Site","Site_ID","Project","Date","TP","Lat","Long"
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17674","17.6",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17674","17.6",42.864,-76.508
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17674","111",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17674","111",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17666","22.2",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17666","22.2",42.71667,-76.43773
"Veness Brook","07-VENE-0.4","DOW","17666","32.6",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW","17666","32.6",42.886,-76.548
"Sucker Brook","07-SCKR-0.1","DOW","17666","19.9",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW","17666","19.9",42.902,-76.527
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17666","12.4",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17666","12.4",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DOW","17652","16.2",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW","17652","16.2",42.902,-76.527
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17652","8.5",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17652","8.5",42.864,-76.508
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17652","6.9",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17652","6.9",42.71667,-76.43773
"Veness Brook","07-VENE-0.4","DOW","17652","13",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW","17652","13",42.886,-76.548
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17647","10.6",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17647","10.6",42.71667,-76.43773
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17647","11.7",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17647","11.7",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DOW","17647","17.3",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW","17647","17.3",42.902,-76.527
"Veness Brook","07-VENE-0.4","DOW","17647","21.3",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW","17647","21.3",42.886,-76.548
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17639","14",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17639","14",42.71667,-76.43773
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17639","12.6",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17639","12.6",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DOW","17639","26.3",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW","17639","26.3",42.902,-76.527
"Veness Brook","07-VENE-0.4","DOW","17639","37.1",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW","17639","37.1",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW","17639","33.3",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW","17639","33.3",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW","17624","22.1",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW","17624","22.1",42.886,-76.548
"Sucker Brook","07-SCKR-0.1","DOW","17624","13.9",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW","17624","13.9",42.902,-76.527
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17624","11.2",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17624","11.2",42.864,-76.508
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17624","16.9",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17624","16.9",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17610","10.4",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17610","10.4",42.71667,-76.43773
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17610","8.8",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17610","8.8",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DOW","17610","8.5",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW","17610","8.5",42.902,-76.527
"Veness Brook","07-VENE-0.4","DOW","17610","16.5",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW","17610","16.5",42.886,-76.548
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17602","5.8",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17602","5.8",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17602","6.3",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17602","6.3",42.71667,-76.43773
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17602","4.7",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17602","4.7",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DOW","17602","8.4",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW","17602","8.4",42.902,-76.527
"Veness Brook","07-VENE-0.4","DOW","17602","8.8",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW","17602","8.8",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.2","DOW","15636","14.4",42.864159,-76.508049
"Dutch Hollow Brook","07-DUCH-0.2","DOW","15616","18.7",42.864159,-76.508049
"Dutch Hollow Brook","07-DUCH-0.2","DOW","15593","55.5",42.864159,-76.508049
"Dutch Hollow Brook","07-DUCH-0.2","DOW","15565","14",42.864159,-76.508049
"Dutch Hollow Brook","07-DUCH-0.2","DOW","15533","15.6",42.864159,-76.508049
"Dutch Hollow Brook","07-DUCH-0.2","DOW","15519","12.4",42.864159,-76.508049
"Dutch Hollow Brook","07-DUCH-0.2","DOW","15496","12.8",42.864159,-76.508049
"Dutch Hollow Brook","07-DUCH-0.2","DOW","15475","11.4",42.864159,-76.508049
"Dutch Hollow Brook","07-DUCH-0.2","DOW","15460","7.1",42.864159,-76.508049
"Dutch Hollow Brook","07-DUCH-0.2","DOW","15434","5.4",42.864159,-76.508049
"Owasco Lake Inlet","07-OWLI-3.0","DOW","13830","19.1",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","13830","19.1",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","13810","164",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","13810","164",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","13789","36.4",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","13789","36.4",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","13768","74.3",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","13768","74.3",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","13747","48.7",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","13747","48.7",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","13712","37.9",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","13712","37.9",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","13682","53",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","13682","53",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","13664","61.3",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","13664","61.3",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","13636","19.8",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","13636","19.8",42.71667,-76.43773
