"Site","Site_ID","Project","Date","TP","Lat","Long"
"Owasco Inlet/Walpole Rd.","OWLA 158","DHD","11/10/2021","33.9",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD","11/10/2021","26.1",42.889701,-76.54934
"Owasco inlet/St. Rt. 90","OWLA 200","DHD","11/10/2021","23.6",42.659673,-76.428177
"Owasco Inlet/W. Cayuga St.","OWLA 213","DHD","11/10/2021","16.8",42.71622,-76.437075
"Dutch Hollow Brook","OWLA 166","DHD","5/5/2022","10.4",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD","5/5/2022","20.5",42.901229,-76.527212
"Owasco Inlet/Walpole Rd.","OWLA 158","DHD","5/5/2022","40.4",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD","5/5/2022","51.9",42.889701,-76.54934
"Owasco inlet/St. Rt. 90","OWLA 200","DHD","5/5/2022","16.4",42.659673,-76.428177
"Owasco Inlet/W. Cayuga St.","OWLA 213","DHD","5/5/2022","15.1",42.71622,-76.437075
"Long Point","OWLA 101","DHD","5/5/2022","10.3",42.901229,-76.527212
"Dutch Hollow Brook","OWLA 166","DHD","5/20/2022","15.6",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD","5/20/2022","27.5",42.901229,-76.527212
"Owasco Inlet/Walpole Rd.","OWLA 158","DHD","5/20/2022","26",42.599363,-76.373137
"Owasco inlet/St. Rt. 90","OWLA 200","DHD","5/20/2022","13.2",42.659673,-76.428177
"Owasco Inlet/W. Cayuga St.","OWLA 213","DHD","5/20/2022","9.4",42.71622,-76.437075
"Long Point","OWLA 101","DHD","5/20/2022","11.1",42.901229,-76.527212
"Dutch Hollow","OWLA 166","DHD","6/1/2022","22.2",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD","6/1/2022","54",42.901229,-76.527212
"Owasco Inlet","OWLA 158","DHD","6/1/2022","40.5",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD","6/1/2022","119.4",42.889701,-76.54934
"State Rt. 90","OWLA 200","DHD","6/1/2022","34.6",42.659673,-76.428177
"West Cayuga St.","OWLA 213","DHD","6/1/2022","21.6",42.71622,-76.437075
"Long Point","OWLA 290","DHD","6/1/2022","18.8",42.83408,-76.50477
"Dutch Hollow","OWLA 166","DHD","6/16/2022","387.9",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD","6/16/2022","627.8",42.901229,-76.527212
"Owasco Inlet","OWLA 158","DHD","6/16/2022","325.8",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD","6/16/2022","101.7",42.889701,-76.54934
"State Rt. 90","OWLA 200","DHD","6/16/2022","82.9",42.659673,-76.428177
"West Cayuga St.","OWLA 213","DHD","6/16/2022","105.1",42.71622,-76.437075
"Long Point","OWLA 290","DHD","6/16/2022","105",42.83408,-76.50477
"Dutch Hollow","OWLA 166","DHD","7/11/2022","11.6",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD","7/11/2022","49.7",42.901229,-76.527212
