"CHS_EVENT_SMAS_SAMPLE_DATE","Remarks","CHR_RESULT_VALUE"
2018-07-05,NA,1.25
2018-07-25,NA,1.25
2018-07-31,NA,1.32
2018-08-14,NA,1.6
2018-08-28,NA,1.28
2018-09-10,NA,1.6
2018-09-11,NA,1.5
2018-10-09,NA,1.6
2018-10-23,NA,1.56
2018-10-29,NA,1.48
2018-11-02,NA,1.66
