"CHS_EVENT_SMAS_SAMPLE_DATE","Remarks","CHR_RESULT_VALUE"
2017-04-05,NA,1.017
2017-05-02,NA,0.684
2017-07-05,NA,0.594
2017-07-28,NA,1.22
2017-12-01,NA,1.57
2018-07-05,NA,0.595
2018-07-17,NA,0.884
2018-07-25,NA,0.687
2018-07-31,NA,0.868
2018-08-14,NA,1.01
2018-08-28,NA,0.793
2018-09-10,NA,0.884
2018-09-11,NA,0.996
2018-10-09,NA,1.27
2018-10-23,NA,1.28
2018-10-29,NA,1.14
2018-11-02,NA,1.32
