"CHS_EVENT_SMAS_SAMPLE_DATE","Remarks","CHR_RESULT_VALUE"
2017-04-05,NA,0.058
2017-05-02,NA,0.0822
2017-06-06,NA,0.0683
2017-07-28,NA,0.0313
2017-11-15,NA,0.0217
2017-12-01,NA,0.0194
2018-07-05,NA,0.0535
2018-08-14,NA,0.0945
2018-08-28,NA,0.0361
2018-09-10,NA,0.0395
2018-09-11,NA,0.0504
2018-10-23,NA,0.0159
2018-10-29,NA,0.0239
2018-11-02,NA,0.0231
