"CHS_EVENT_SMAS_SAMPLE_DATE","Remarks","CHR_RESULT_VALUE"
2018-07-25,NA,90.9
2018-08-14,NA,49.2
2018-08-28,NA,2.4
2018-09-10,NA,3.6
2018-10-09,NA,4.4
2018-10-23,NA,1.5
2018-10-29,NA,6.8
2018-11-02,NA,5.8
