"CHS_EVENT_SMAS_SAMPLE_DATE","Remarks","CHR_RESULT_VALUE"
2018-07-05,NA,4.5
2018-07-31,NA,3.6
2018-08-14,NA,7.2
2018-09-11,NA,5.6
2018-10-09,NA,4
2018-10-23,NA,3.1
2018-10-29,NA,4.3
2018-11-02,NA,0.6
