"CHS_EVENT_SMAS_SAMPLE_DATE","Remarks","CHR_RESULT_VALUE"
2017-04-05,NA,0.016
2017-05-02,NA,0.0224
2017-06-06,NA,0.0194
2017-07-05,NA,0.0161
2017-07-28,NA,0.0147
2017-11-15,NA,0.0102
2017-12-01,NA,0.0071
2018-07-05,NA,0.0153
2018-07-25,NA,0.0216
2018-08-14,NA,0.0473
2018-09-10,NA,0.0236
2018-09-11,NA,0.0264
2018-10-09,NA,0.0187
2018-10-23,NA,0.0111
2018-10-29,NA,0.015
2018-11-02,NA,0.0123
