"site_id","waterbody_name","sample_date","parameter_name","result_value","municipality","description","latitude","longitude"
"07-VENE-0.4","Veness Brook","4/26/2018, 8:45 AM","PHOSPHORUS, TOTAL (AS P)",0.0213,"Fleming","Veness Brook at Oltz Residence",42.886,-76.548
"07-OWLI-3.0","Owasco Lake Inlet","4/18/2018, 12:30 PM","PHOSPHORUS, TOTAL (AS P)",0.014,"Moravia","20 m below sr 38.",42.71667,-76.43773
"07-DUCH-0.3","Dutch Hollow Brook","4/18/2018, 11:35 AM","PHOSPHORUS, TOTAL (AS P)",0.0126,"Owasco","east lake rd.",42.864,-76.508
"07-SCKR-0.1","Sucker Brook","4/18/2018, 10:30 AM","PHOSPHORUS, TOTAL (AS P)",0.0263,"Owasco","100 m upstream of sr 38a.",42.902,-76.527
"07-VENE-0.4","Veness Brook","4/18/2018, 9:40 AM","PHOSPHORUS, TOTAL (AS P)",0.0371,"Fleming","Veness Brook at Oltz Residence",42.886,-76.548
"07-VENE-0.4","Veness Brook","4/18/2018, 9:40 AM","PHOSPHORUS, TOTAL (AS P)",0.0333,"Fleming","Veness Brook at Oltz Residence",42.886,-76.548
"07-VENE-0.4","Veness Brook","4/3/2018, 12:00 PM","PHOSPHORUS, TOTAL (AS P)",0.0221,"Fleming","Veness Brook at Oltz Residence",42.886,-76.548
"07-SCKR-0.1","Sucker Brook","4/3/2018, 11:30 AM","PHOSPHORUS, TOTAL (AS P)",0.0139,"Owasco","100 m upstream of sr 38a.",42.902,-76.527
"07-DUCH-0.3","Dutch Hollow Brook","4/3/2018, 10:00 AM","PHOSPHORUS, TOTAL (AS P)",0.0112,"Owasco","east lake rd.",42.864,-76.508
"07-OWLI-3.0","Owasco Lake Inlet","4/3/2018, 9:00 AM","PHOSPHORUS, TOTAL (AS P)",0.0169,"Moravia","20 m below sr 38.",42.71667,-76.43773
"07-OWLI-3.0","Owasco Lake Inlet","3/20/2018, 1:30 PM","PHOSPHORUS, TOTAL (AS P)",0.0104,"Moravia","20 m below sr 38.",42.71667,-76.43773
